,open,high,low,close,volume
2013-10-02 15:20:29.300,1436.25,1436.25,1436.25,1436.25,5.0
2013-10-02 15:20:29.500,1436.25,1436.25,1436.0,1436.0,22.0
2013-10-02 15:20:29.600,1436.5,1436.5,1436.5,1436.5,1.0
2013-10-02 15:20:29.800,1436.5,1436.5,1436.5,1436.5,1.0
2013-10-02 15:20:29.900,1436.0,1436.25,1436.0,1436.25,4.0
2013-10-02 15:20:30.000,1436.25,1436.5,1436.25,1436.5,3.0
2013-10-02 15:20:30.100,1436.25,1436.25,1436.25,1436.25,5.0
2013-10-02 15:20:30.300,1436.25,1436.25,1436.25,1436.25,3.0
2013-10-02 15:20:30.500,1436.25,1436.5,1436.25,1436.5,2.0
2013-10-02 15:20:30.600,1436.5,1436.5,1436.5,1436.5,22.0
2013-10-02 15:20:30.700,1436.5,1436.5,1436.5,1436.5,3.0
2013-10-02 15:20:30.900,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:31.100,1436.5,1436.5,1436.5,1436.5,1.0
2013-10-02 15:20:31.200,1436.5,1436.5,1436.0,1436.0,5.0
2013-10-02 15:20:31.500,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:31.600,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:31.800,1436.5,1436.5,1436.0,1436.0,1154.0
2013-10-02 15:20:31.900,1436.0,1436.25,1436.0,1436.25,134.0
2013-10-02 15:20:32.000,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:32.100,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:32.200,1436.25,1436.25,1436.25,1436.25,3.0
2013-10-02 15:20:32.300,1436.0,1436.0,1436.0,1436.0,193.0
2013-10-02 15:20:32.400,1436.0,1436.0,1436.0,1436.0,39.0
2013-10-02 15:20:32.600,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:32.700,1436.0,1436.0,1436.0,1436.0,62.0
2013-10-02 15:20:32.800,1436.25,1436.5,1436.25,1436.25,5.0
2013-10-02 15:20:32.900,1436.25,1436.25,1436.25,1436.25,14.0
2013-10-02 15:20:33.100,1436.5,1436.5,1436.5,1436.5,2.0
2013-10-02 15:20:33.500,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:33.700,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:33.800,1436.5,1436.5,1436.5,1436.5,2.0
2013-10-02 15:20:33.900,1437.0,1437.0,1437.0,1437.0,2.0
2013-10-02 15:20:34.300,1436.25,1437.0,1436.25,1437.0,11.0
2013-10-02 15:20:34.400,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:20:34.500,1436.0,1436.0,1436.0,1436.0,360.0
2013-10-02 15:20:34.600,1436.25,1436.25,1436.25,1436.25,3.0
2013-10-02 15:20:34.700,1436.25,1436.25,1436.0,1436.0,37.0
2013-10-02 15:20:34.800,1436.25,1436.25,1436.0,1436.0,2.0
2013-10-02 15:20:34.900,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:35.100,1436.25,1436.25,1436.25,1436.25,4.0
2013-10-02 15:20:35.500,1436.0,1436.0,1436.0,1436.0,561.0
2013-10-02 15:20:35.700,1436.0,1436.0,1436.0,1436.0,9.0
2013-10-02 15:20:35.900,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:36.000,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:36.200,1436.25,1436.25,1436.25,1436.25,6.0
2013-10-02 15:20:36.600,1436.25,1436.25,1436.25,1436.25,1.0
